Cancelled,DepTime,DepDelayMinutes,ArrDelayMinutes,AirTime,Distance,Month,DayOfWeek,DepDel15,ArrDel15
False,1204.0,0.0,0.0,124.0,1005.0,4,5,0.0,0.0
False,2045.0,15.0,15.0,82.0,519.0,4,5,1.0,1.0
False,1722.0,22.0,28.0,88.0,551.0,4,5,1.0,1.0
False,2134.0,0.0,0.0,50.0,308.0,4,7,0.0,0.0
False,1636.0,181.0,162.0,94.0,759.0,4,5,1.0,1.0
False,556.0,0.0,0.0,177.0,1359.0,4,5,0.0,0.0
False,556.0,0.0,0.0,65.0,325.0,4,6,0.0,0.0
False,654.0,0.0,0.0,37.0,192.0,4,6,0.0,0.0
False,1407.0,0.0,0.0,99.0,777.0,4,5,0.0,0.0
False,2045.0,0.0,0.0,46.0,296.0,4,5,0.0,0.0
False,1355.0,0.0,0.0,81.0,589.0,4,1,0.0,0.0
False,1702.0,12.0,11.0,58.0,402.0,4,5,0.0,0.0
False,1111.0,11.0,4.0,27.0,109.0,4,7,0.0,0.0
False,924.0,144.0,147.0,51.0,190.0,4,7,1.0,1.0
False,1916.0,86.0,56.0,196.0,1488.0,4,5,1.0,1.0
False,1508.0,93.0,77.0,121.0,888.0,4,5,1.0,1.0
False,1142.0,0.0,0.0,32.0,109.0,4,7,0.0,0.0
False,1820.0,0.0,0.0,19.0,77.0,4,1,0.0,0.0
False,1632.0,7.0,0.0,262.0,2404.0,4,5,0.0,0.0
True,,,,,930.0,4,5,,
False,827.0,7.0,0.0,201.0,1491.0,4,5,0.0,0.0
False,904.0,24.0,7.0,269.0,2349.0,4,5,1.0,0.0
False,554.0,0.0,0.0,56.0,368.0,4,1,0.0,0.0
False,852.0,7.0,0.0,58.0,387.0,4,5,0.0,0.0
False,2036.0,0.0,0.0,58.0,417.0,4,5,0.0,0.0
False,2148.0,19.0,31.0,88.0,569.0,4,7,1.0,1.0
False,1404.0,0.0,0.0,54.0,253.0,4,7,0.0,0.0
False,1807.0,0.0,0.0,54.0,316.0,4,6,0.0,0.0
False,2132.0,0.0,0.0,28.0,127.0,4,7,0.0,0.0
False,1825.0,40.0,20.0,212.0,1620.0,4,5,1.0,1.0
False,518.0,0.0,0.0,25.0,67.0,4,1,0.0,0.0
False,124.0,194.0,200.0,61.0,389.0,4,5,1.0,1.0
False,1525.0,40.0,36.0,39.0,228.0,4,5,1.0,1.0
False,2304.0,59.0,52.0,78.0,577.0,4,5,1.0,1.0
False,844.0,0.0,17.0,46.0,224.0,4,1,0.0,1.0
False,1103.0,0.0,0.0,45.0,196.0,4,5,0.0,0.0
False,1344.0,19.0,18.0,94.0,634.0,4,5,1.0,1.0
False,2028.0,0.0,0.0,65.0,442.0,4,5,0.0,0.0
False,802.0,0.0,8.0,139.0,917.0,4,5,0.0,0.0
False,1847.0,0.0,0.0,35.0,223.0,4,1,0.0,0.0
False,1037.0,2.0,0.0,33.0,159.0,4,5,0.0,0.0
False,1818.0,0.0,0.0,63.0,416.0,4,1,0.0,0.0
False,702.0,0.0,0.0,65.0,343.0,4,7,0.0,0.0
False,1108.0,0.0,0.0,64.0,315.0,4,6,0.0,0.0
False,1842.0,22.0,34.0,140.0,1067.0,4,5,1.0,1.0
False,2057.0,42.0,45.0,132.0,880.0,4,5,1.0,1.0
False,1027.0,0.0,0.0,45.0,323.0,4,7,0.0,0.0
False,1312.0,2.0,0.0,290.0,2541.0,4,5,0.0,0.0
False,1306.0,6.0,3.0,77.0,488.0,4,7,0.0,0.0
False,2119.0,109.0,97.0,102.0,668.0,4,5,1.0,1.0
False,1938.0,0.0,0.0,59.0,427.0,4,7,0.0,0.0
False,547.0,2.0,0.0,138.0,1246.0,4,5,0.0,0.0
False,1401.0,1.0,0.0,46.0,199.0,4,5,0.0,0.0
False,1632.0,0.0,0.0,47.0,223.0,4,1,0.0,0.0
False,2151.0,21.0,12.0,42.0,239.0,4,5,1.0,0.0
False,935.0,0.0,0.0,29.0,137.0,4,7,0.0,0.0
False,1336.0,1.0,0.0,124.0,990.0,4,5,0.0,0.0
False,1056.0,1.0,0.0,61.0,445.0,4,5,0.0,0.0
False,1257.0,0.0,0.0,61.0,417.0,4,5,0.0,0.0
False,909.0,24.0,0.0,139.0,1014.0,4,5,1.0,0.0
False,2251.0,16.0,1.0,82.0,602.0,4,5,1.0,0.0
False,1810.0,35.0,14.0,378.0,2860.0,4,5,1.0,0.0
False,1103.0,0.0,0.0,139.0,900.0,4,7,0.0,0.0
False,1814.0,0.0,0.0,20.0,77.0,4,7,0.0,0.0
False,1552.0,0.0,0.0,34.0,212.0,4,5,0.0,0.0
False,547.0,0.0,0.0,101.0,872.0,4,5,0.0,0.0
False,614.0,0.0,0.0,102.0,723.0,4,5,0.0,0.0
False,1102.0,12.0,0.0,36.0,210.0,4,5,0.0,0.0
False,1033.0,0.0,0.0,48.0,240.0,4,5,0.0,0.0
False,1019.0,19.0,32.0,77.0,325.0,4,7,1.0,1.0
False,900.0,110.0,144.0,153.0,994.0,4,5,1.0,1.0
False,1742.0,27.0,17.0,53.0,308.0,4,5,1.0,1.0
False,1557.0,0.0,0.0,31.0,161.0,4,1,0.0,0.0
False,710.0,0.0,0.0,57.0,308.0,4,6,0.0,0.0
False,1442.0,0.0,0.0,108.0,776.0,4,5,0.0,0.0
False,1716.0,6.0,0.0,143.0,1235.0,4,5,0.0,0.0
False,558.0,0.0,0.0,50.0,277.0,4,5,0.0,0.0
False,1115.0,30.0,16.0,79.0,663.0,4,5,1.0,1.0
False,1404.0,4.0,0.0,54.0,358.0,4,5,0.0,0.0
False,1302.0,40.0,28.0,41.0,253.0,4,5,1.0,1.0
False,1853.0,3.0,3.0,125.0,937.0,4,5,0.0,0.0
False,1532.0,7.0,3.0,109.0,844.0,4,5,0.0,0.0
False,926.0,16.0,0.0,40.0,236.0,4,5,1.0,0.0
False,810.0,0.0,0.0,48.0,304.0,4,5,0.0,0.0
False,2126.0,66.0,49.0,97.0,762.0,4,5,1.0,1.0
False,1804.0,29.0,17.0,42.0,317.0,4,5,1.0,1.0
False,931.0,0.0,0.0,68.0,489.0,4,5,0.0,0.0
False,1851.0,1.0,0.0,51.0,325.0,4,5,0.0,0.0
False,1023.0,8.0,0.0,163.0,1189.0,4,5,0.0,0.0
False,1659.0,0.0,0.0,48.0,296.0,4,5,0.0,0.0
False,834.0,0.0,0.0,137.0,1042.0,4,5,0.0,0.0
False,1444.0,0.0,0.0,97.0,677.0,4,5,0.0,0.0
False,1850.0,0.0,0.0,62.0,398.0,4,5,0.0,0.0
False,2017.0,57.0,40.0,109.0,738.0,4,5,1.0,1.0
False,951.0,1.0,0.0,230.0,1741.0,4,5,0.0,0.0
False,1505.0,15.0,10.0,229.0,1999.0,4,5,1.0,0.0
False,1042.0,42.0,47.0,72.0,409.0,4,5,1.0,1.0
False,1023.0,0.0,0.0,104.0,589.0,4,5,0.0,0.0
False,2034.0,4.0,0.0,82.0,552.0,4,7,0.0,0.0
True,,,,,973.0,4,5,,
False,1013.0,0.0,0.0,77.0,554.0,4,5,0.0,0.0
False,2045.0,15.0,6.0,107.0,895.0,4,5,1.0,0.0
False,954.0,0.0,0.0,54.0,308.0,4,6,0.0,0.0
False,1755.0,20.0,13.0,53.0,392.0,4,5,1.0,0.0
False,1207.0,2.0,74.0,142.0,1005.0,4,5,0.0,1.0
False,1407.0,0.0,0.0,47.0,277.0,4,1,0.0,0.0
False,1852.0,249.0,247.0,79.0,441.0,4,5,1.0,1.0
False,1149.0,0.0,0.0,70.0,445.0,4,5,0.0,0.0
False,552.0,7.0,0.0,221.0,1844.0,4,5,0.0,0.0
False,1825.0,75.0,95.0,113.0,835.0,4,5,1.0,1.0
False,714.0,0.0,0.0,213.0,1553.0,4,5,0.0,0.0
False,1938.0,93.0,89.0,45.0,210.0,4,5,1.0,1.0
False,717.0,27.0,3.0,111.0,971.0,4,5,1.0,0.0
False,1541.0,0.0,0.0,56.0,374.0,4,5,0.0,0.0
False,1753.0,28.0,29.0,174.0,1243.0,4,5,1.0,1.0
False,609.0,0.0,0.0,73.0,439.0,4,5,0.0,0.0
False,1118.0,72.0,73.0,53.0,316.0,4,7,1.0,1.0
False,1605.0,5.0,47.0,150.0,1246.0,4,5,0.0,1.0
False,1341.0,0.0,0.0,35.0,197.0,4,5,0.0,0.0
False,1150.0,0.0,0.0,212.0,1558.0,4,5,0.0,0.0
False,1824.0,0.0,0.0,19.0,77.0,4,6,0.0,0.0
False,1017.0,2.0,0.0,159.0,1139.0,4,5,0.0,0.0
False,1350.0,0.0,0.0,41.0,223.0,4,5,0.0,0.0
False,1251.0,0.0,0.0,68.0,417.0,4,5,0.0,0.0
False,2119.0,44.0,42.0,52.0,255.0,4,5,1.0,1.0
False,1503.0,38.0,15.0,356.0,2762.0,4,5,1.0,1.0
False,1404.0,4.0,0.0,57.0,398.0,4,7,0.0,0.0
False,1719.0,0.0,22.0,64.0,323.0,4,5,0.0,1.0
False,1502.0,17.0,5.0,48.0,308.0,4,5,1.0,0.0
False,1554.0,29.0,27.0,167.0,1342.0,4,5,1.0,1.0
False,1441.0,0.0,0.0,84.0,552.0,4,6,0.0,0.0
True,,,,,852.0,4,5,,
False,1846.0,16.0,13.0,181.0,1590.0,4,5,1.0,0.0
False,1939.0,0.0,0.0,35.0,190.0,4,6,0.0,0.0
False,857.0,0.0,0.0,179.0,1184.0,4,5,0.0,0.0
False,1323.0,0.0,0.0,79.0,637.0,4,6,0.0,0.0
False,1049.0,0.0,0.0,83.0,642.0,4,5,0.0,0.0
False,1406.0,0.0,0.0,72.0,284.0,4,7,0.0,0.0
False,1539.0,0.0,2.0,88.0,588.0,4,6,0.0,0.0
False,1439.0,39.0,27.0,119.0,1014.0,4,5,1.0,1.0
False,1806.0,21.0,20.0,81.0,657.0,4,5,1.0,1.0
False,712.0,0.0,0.0,20.0,80.0,4,5,0.0,0.0
False,702.0,27.0,21.0,190.0,1592.0,4,5,1.0,1.0
False,1450.0,0.0,0.0,63.0,417.0,4,5,0.0,0.0
False,508.0,0.0,3.0,134.0,873.0,4,5,0.0,0.0
False,1938.0,48.0,34.0,108.0,725.0,4,5,1.0,1.0
False,1912.0,72.0,59.0,87.0,632.0,4,6,1.0,1.0
False,1526.0,26.0,28.0,42.0,223.0,4,5,1.0,1.0
False,1808.0,0.0,0.0,44.0,252.0,4,7,0.0,0.0
False,1901.0,6.0,0.0,57.0,453.0,4,5,0.0,0.0
False,1250.0,0.0,0.0,210.0,1750.0,4,5,0.0,0.0
False,2237.0,182.0,169.0,113.0,759.0,4,5,1.0,1.0
False,1839.0,0.0,0.0,53.0,353.0,4,5,0.0,0.0
False,1636.0,241.0,256.0,75.0,441.0,4,5,1.0,1.0
False,1047.0,0.0,0.0,117.0,900.0,4,6,0.0,0.0
False,611.0,0.0,0.0,57.0,418.0,4,5,0.0,0.0
False,1515.0,15.0,32.0,165.0,1390.0,4,5,1.0,1.0
False,1433.0,98.0,83.0,124.0,883.0,4,5,1.0,1.0
False,1522.0,0.0,0.0,45.0,305.0,4,5,0.0,0.0
False,1401.0,1.0,0.0,41.0,222.0,4,5,0.0,0.0
False,2049.0,110.0,112.0,127.0,872.0,4,7,1.0,1.0
False,1941.0,0.0,0.0,51.0,326.0,4,5,0.0,0.0
False,1043.0,0.0,0.0,104.0,642.0,4,7,0.0,0.0
False,1228.0,0.0,0.0,63.0,395.0,4,5,0.0,0.0
False,1202.0,0.0,0.0,116.0,879.0,4,5,0.0,0.0
False,840.0,0.0,0.0,96.0,770.0,4,5,0.0,0.0
False,1255.0,0.0,0.0,103.0,562.0,4,1,0.0,0.0
False,2042.0,17.0,0.0,215.0,1620.0,4,5,1.0,0.0
False,1549.0,0.0,0.0,38.0,212.0,4,6,0.0,0.0
False,749.0,0.0,0.0,89.0,588.0,4,1,0.0,0.0
False,1307.0,32.0,29.0,82.0,628.0,4,5,1.0,1.0
False,1741.0,0.0,0.0,45.0,277.0,4,7,0.0,0.0
False,821.0,0.0,0.0,34.0,181.0,4,5,0.0,0.0
False,848.0,33.0,38.0,42.0,229.0,4,5,1.0,1.0
False,1526.0,51.0,41.0,53.0,314.0,4,5,1.0,1.0
False,1208.0,0.0,0.0,93.0,689.0,4,5,0.0,0.0
False,2257.0,12.0,7.0,44.0,277.0,4,5,0.0,0.0
False,1401.0,6.0,0.0,135.0,919.0,4,5,0.0,0.0
False,1630.0,5.0,0.0,63.0,353.0,4,5,0.0,0.0
False,1944.0,4.0,0.0,52.0,325.0,4,5,0.0,0.0
False,1410.0,0.0,0.0,46.0,296.0,4,5,0.0,0.0
False,555.0,0.0,1.0,114.0,957.0,4,5,0.0,0.0
False,2021.0,41.0,19.0,73.0,513.0,4,7,1.0,1.0
False,1258.0,0.0,0.0,75.0,503.0,4,6,0.0,0.0
False,724.0,0.0,0.0,102.0,723.0,4,5,0.0,0.0
False,506.0,1.0,0.0,95.0,680.0,4,5,0.0,0.0
False,604.0,0.0,0.0,79.0,543.0,4,5,0.0,0.0
False,749.0,0.0,11.0,59.0,472.0,4,5,0.0,0.0
False,1921.0,6.0,0.0,73.0,543.0,4,5,0.0,0.0
False,827.0,46.0,42.0,105.0,817.0,4,7,1.0,1.0
False,607.0,0.0,0.0,43.0,247.0,4,5,0.0,0.0
False,456.0,0.0,0.0,80.0,677.0,4,5,0.0,0.0
False,1620.0,5.0,0.0,94.0,619.0,4,5,0.0,0.0
False,1408.0,0.0,5.0,100.0,738.0,4,6,0.0,0.0
False,2054.0,0.0,0.0,45.0,222.0,4,6,0.0,0.0
False,1303.0,163.0,159.0,64.0,404.0,4,5,1.0,1.0
False,1007.0,22.0,12.0,42.0,231.0,4,5,1.0,0.0
False,1928.0,38.0,27.0,173.0,1199.0,4,5,1.0,1.0
False,923.0,8.0,0.0,113.0,919.0,4,5,0.0,0.0
False,1150.0,0.0,0.0,87.0,583.0,4,7,0.0,0.0
False,2321.0,51.0,42.0,92.0,611.0,4,5,1.0,1.0
False,2054.0,49.0,45.0,127.0,883.0,4,5,1.0,1.0
False,1951.0,11.0,0.0,86.0,628.0,4,5,0.0,0.0
False,1043.0,3.0,4.0,73.0,562.0,4,5,0.0,0.0
False,1153.0,0.0,0.0,46.0,259.0,4,5,0.0,0.0
False,1144.0,94.0,124.0,126.0,957.0,4,5,1.0,1.0
False,2318.0,28.0,24.0,129.0,909.0,4,5,1.0,1.0
False,1100.0,5.0,4.0,45.0,228.0,4,5,0.0,0.0
False,524.0,0.0,0.0,116.0,853.0,4,5,0.0,0.0
False,1049.0,0.0,1.0,27.0,67.0,4,6,0.0,0.0
False,1855.0,0.0,0.0,129.0,872.0,4,5,0.0,0.0
False,1901.0,11.0,0.0,85.0,530.0,4,5,0.0,0.0
False,1540.0,0.0,0.0,45.0,261.0,4,5,0.0,0.0
False,1825.0,125.0,114.0,130.0,1072.0,4,5,1.0,1.0
False,1755.0,0.0,0.0,80.0,654.0,4,1,0.0,0.0
False,839.0,4.0,0.0,66.0,440.0,4,5,0.0,0.0
False,1408.0,0.0,0.0,106.0,738.0,4,5,0.0,0.0
False,1532.0,0.0,0.0,22.0,67.0,4,7,0.0,0.0
False,1533.0,0.0,0.0,43.0,174.0,4,7,0.0,0.0
False,1014.0,0.0,,,444.0,4,5,0.0,
False,1047.0,0.0,0.0,264.0,2355.0,4,5,0.0,0.0
False,1405.0,60.0,48.0,83.0,529.0,4,6,1.0,1.0
False,846.0,1.0,0.0,376.0,2917.0,4,5,0.0,0.0
False,957.0,27.0,15.0,68.0,488.0,4,5,1.0,1.0
False,1028.0,0.0,0.0,73.0,446.0,4,5,0.0,0.0
False,557.0,0.0,0.0,54.0,337.0,4,5,0.0,0.0
False,1437.0,2.0,0.0,68.0,438.0,4,7,0.0,0.0
False,1104.0,24.0,21.0,99.0,570.0,4,5,1.0,1.0
False,822.0,0.0,0.0,131.0,1109.0,4,5,0.0,0.0
False,958.0,0.0,19.0,64.0,369.0,4,5,0.0,1.0
False,1330.0,0.0,0.0,67.0,343.0,4,7,0.0,0.0
False,608.0,0.0,0.0,96.0,595.0,4,5,0.0,0.0
False,1025.0,10.0,18.0,201.0,1607.0,4,5,0.0,1.0
False,557.0,0.0,2.0,55.0,289.0,4,5,0.0,0.0
False,1528.0,38.0,32.0,118.0,793.0,4,5,1.0,1.0
False,1515.0,15.0,10.0,116.0,761.0,4,5,1.0,0.0
False,757.0,0.0,0.0,50.0,325.0,4,5,0.0,0.0
False,1054.0,4.0,0.0,61.0,355.0,4,5,0.0,0.0
False,2224.0,659.0,641.0,63.0,438.0,4,7,1.0,1.0
False,1719.0,14.0,22.0,83.0,476.0,4,7,0.0,1.0
False,1120.0,0.0,38.0,144.0,849.0,4,5,0.0,1.0
False,1849.0,319.0,315.0,83.0,637.0,4,1,1.0,1.0
False,1130.0,0.0,0.0,62.0,391.0,4,5,0.0,0.0
False,837.0,0.0,0.0,85.0,491.0,4,6,0.0,0.0
False,1426.0,0.0,0.0,80.0,441.0,4,7,0.0,0.0
False,704.0,0.0,0.0,59.0,351.0,4,5,0.0,0.0
False,955.0,0.0,0.0,114.0,763.0,4,5,0.0,0.0
True,,,,,1073.0,4,5,,
False,943.0,0.0,0.0,67.0,458.0,4,5,0.0,0.0
False,849.0,0.0,0.0,72.0,438.0,4,7,0.0,0.0
False,1307.0,2.0,0.0,190.0,1624.0,4,5,0.0,0.0
False,1227.0,12.0,0.0,119.0,846.0,4,5,0.0,0.0
False,1653.0,0.0,0.0,22.0,84.0,4,1,0.0,0.0
False,836.0,0.0,9.0,106.0,637.0,4,6,0.0,0.0
False,1915.0,0.0,0.0,56.0,358.0,4,5,0.0,0.0
False,1139.0,9.0,1.0,325.0,2845.0,4,5,0.0,0.0
False,1345.0,45.0,62.0,46.0,199.0,4,7,1.0,1.0
False,802.0,0.0,0.0,72.0,438.0,4,1,0.0,0.0
False,1353.0,0.0,0.0,73.0,423.0,4,7,0.0,0.0
False,1630.0,25.0,30.0,152.0,1241.0,4,5,1.0,1.0
False,2323.0,48.0,47.0,53.0,314.0,4,5,1.0,1.0
False,1904.0,79.0,70.0,96.0,651.0,4,5,1.0,1.0
False,2131.0,259.0,247.0,71.0,398.0,4,7,1.0,1.0
False,746.0,6.0,2.0,64.0,401.0,4,5,0.0,0.0
False,1533.0,11.0,7.0,58.0,299.0,4,5,0.0,0.0
False,737.0,12.0,4.0,184.0,1524.0,4,5,0.0,0.0
False,1313.0,4.0,0.0,127.0,773.0,4,6,0.0,0.0
False,1257.0,12.0,4.0,56.0,362.0,4,5,0.0,0.0
False,847.0,7.0,0.0,29.0,148.0,4,5,0.0,0.0
False,1306.0,1.0,11.0,156.0,1232.0,4,5,0.0,0.0
False,1800.0,0.0,7.0,46.0,199.0,4,5,0.0,0.0
True,,,,,515.0,4,5,,
True,,,,,973.0,4,5,,
False,1656.0,21.0,10.0,34.0,201.0,4,7,1.0,0.0
False,825.0,0.0,0.0,53.0,337.0,4,5,0.0,0.0
False,921.0,0.0,0.0,94.0,672.0,4,5,0.0,0.0
False,1629.0,14.0,19.0,144.0,883.0,4,5,0.0,1.0
False,1211.0,0.0,0.0,51.0,316.0,4,5,0.0,0.0
False,2014.0,34.0,29.0,67.0,461.0,4,5,1.0,1.0
False,1420.0,0.0,0.0,92.0,677.0,4,5,0.0,0.0
False,643.0,0.0,0.0,81.0,621.0,4,5,0.0,0.0
False,557.0,0.0,0.0,56.0,345.0,4,5,0.0,0.0
False,1639.0,0.0,0.0,102.0,572.0,4,5,0.0,0.0
False,913.0,0.0,0.0,50.0,325.0,4,5,0.0,0.0
False,600.0,0.0,0.0,232.0,1771.0,4,5,0.0,0.0
False,938.0,0.0,0.0,58.0,337.0,4,5,0.0,0.0
False,1539.0,0.0,0.0,25.0,109.0,4,6,0.0,0.0
False,1712.0,7.0,0.0,44.0,199.0,4,5,0.0,0.0
False,1234.0,0.0,0.0,39.0,201.0,4,7,0.0,0.0
False,1122.0,0.0,0.0,37.0,230.0,4,6,0.0,0.0
False,1910.0,80.0,66.0,49.0,270.0,4,5,1.0,1.0
False,2024.0,44.0,35.0,48.0,258.0,4,5,1.0,1.0
False,559.0,0.0,0.0,81.0,591.0,4,5,0.0,0.0
False,1948.0,28.0,11.0,153.0,1067.0,4,5,1.0,0.0
False,1549.0,0.0,0.0,54.0,299.0,4,5,0.0,0.0
False,1400.0,0.0,17.0,87.0,589.0,4,6,0.0,1.0
False,1039.0,0.0,0.0,43.0,240.0,4,7,0.0,0.0
False,1828.0,33.0,35.0,110.0,696.0,4,5,1.0,1.0
False,1859.0,19.0,7.0,131.0,957.0,4,5,1.0,0.0
False,1552.0,0.0,9.0,52.0,299.0,4,6,0.0,0.0
False,1211.0,111.0,113.0,39.0,201.0,4,7,1.0,1.0
False,649.0,0.0,0.0,24.0,67.0,4,7,0.0,0.0
False,1323.0,0.0,0.0,48.0,229.0,4,6,0.0,0.0
False,1246.0,46.0,24.0,230.0,1740.0,4,5,1.0,1.0
False,1352.0,0.0,5.0,41.0,240.0,4,6,0.0,0.0
False,2117.0,37.0,36.0,62.0,341.0,4,5,1.0,1.0
False,1043.0,0.0,0.0,55.0,374.0,4,5,0.0,0.0
False,459.0,0.0,0.0,107.0,794.0,4,5,0.0,0.0
False,1214.0,0.0,0.0,49.0,304.0,4,5,0.0,0.0
False,2016.0,16.0,12.0,91.0,646.0,4,5,1.0,0.0
False,1559.0,0.0,0.0,45.0,190.0,4,5,0.0,0.0
False,658.0,3.0,0.0,50.0,341.0,4,5,0.0,0.0
False,822.0,0.0,0.0,72.0,623.0,4,5,0.0,0.0
False,1532.0,0.0,0.0,44.0,230.0,4,5,0.0,0.0
False,1715.0,0.0,0.0,62.0,390.0,4,5,0.0,0.0
False,1121.0,0.0,6.0,54.0,303.0,4,6,0.0,0.0
False,1542.0,22.0,15.0,112.0,775.0,4,5,1.0,1.0
False,1335.0,15.0,1.0,68.0,507.0,4,5,1.0,0.0
False,1830.0,0.0,1.0,22.0,77.0,4,5,0.0,0.0
False,538.0,0.0,0.0,46.0,240.0,4,5,0.0,0.0
False,646.0,16.0,25.0,78.0,438.0,4,5,1.0,1.0
False,915.0,0.0,15.0,73.0,420.0,4,6,0.0,1.0
False,2235.0,0.0,0.0,69.0,533.0,4,5,0.0,0.0
False,1307.0,0.0,0.0,84.0,596.0,4,6,0.0,0.0
False,548.0,3.0,0.0,154.0,1105.0,4,5,0.0,0.0
False,1648.0,13.0,3.0,122.0,948.0,4,5,0.0,0.0
False,642.0,0.0,8.0,41.0,174.0,4,5,0.0,0.0
False,627.0,0.0,0.0,67.0,488.0,4,5,0.0,0.0
False,2001.0,0.0,0.0,48.0,351.0,4,5,0.0,0.0
False,1822.0,52.0,39.0,47.0,255.0,4,5,1.0,1.0
False,810.0,0.0,0.0,125.0,977.0,4,5,0.0,0.0
False,1059.0,4.0,0.0,101.0,647.0,4,5,0.0,0.0
